sentence,cryptocurrency,span_start,span_end 
'CIINCH and ADBIT were created to help automate the multiple layers of manual processes that currently plague the industry.',,,       
'Traditional media has failed to innovate and adapt to the current state of our age.',,,       
"Highly fragmented and operating on legacy software developed in the 1990's   ADBIT and CIINCH aim to bring these processes into the present.",,,       
"DACCDACC is the world’s first content-based blockchain that features identity and access management (IAM) at the infrastructure level.",,,       
"This will revolutionize the digital content and media industries   as it offers users full control over content creation   access and storage.",,,       
"GoldilockGoldilock is aiming to change the way data is stored and secured across the internet.",,,       
"Its innovations allow for individuals and institutions to secure digital assets in storage that are physically disconnected from the internet until the moment users want to connect it for its intended purpose.",,,       
"This will enable a robust cryptocurrency key custody and storage of sensitive digital assets.",,,       
"FCoinFounded by Zhang Jian   former CTO of Huobi   FCoin is a decentralized and fully transparent cryptocurrency exchange based in China.",,,       
"FCoin is unique   as it is based on a mining and profit-sharing mechanism that will return up to 80% to the community.",,,       
"Launched in May   FCoin recently garnered significant media coverage for a massive uptrend in volume at over $17 billion daily.",,,       
"FCoin has now officially gone to market and is looking to overtake some of the leading cryptocurrency exchanges in the world.",,,      
"Blockchain technology truly is worthy of the cliche label “disruptive” that is highly overused in the tech community.",,,       
"Cryptocurrencies are going mainstream.",,,       
"But   it’s not only the tech startups embracing the technological innovations.",,,       
"While these 10 new blockchain companies are worth watching   only time will tell which ones will end up succeeding in the end.",,,       
"Keep your eyes peeled.",,,       
"During the panel   Tai and Brisson formally kicked off bidding on a digital asset called a CryptoKitty that was designed to raise money for ocean conservation.",,,       
"The mainnet is the first blockchain stage towards a digital ledger.Zen Protocol creates Proof-of-Cost smart contracts   meaning the resource bounds or maximum resources that can be used are pre-calculated.",,,       
"Current solutions require individuals to use a Virtual Machine as an interpreter   which requires counting of the steps with no predetermined costs.",,,       
"nextpageThe Zen Protocol platform can be an asset for individuals and businesses because anyone can create and trade financial products   anytime   anywhere   on a secure   proof-of-work blockchain.",,,       
"This allows for smart contracts to have a real-world legal effect by enabling any businesses that wants to store and transact with real-world value on a digital level.",,,       
"These could include insurance   contract futures   loans or any other digital monetization of a real world asset and derivatives on those assets.",,,       
"By July 2017 we had a working blockchain and by December we had rebuilt the entire codebase from scratch to increase the stability of the platform and ease of future scaling.",,,       
"The company has already begun to establish working use-cases through a recent partnership with VinX   a digital platform that brings blockchain to the wine industry.",,,       
"Not the worst policy.",,,      
"While “on-the-go” technology and “24/7” connectivity are a boon for businesses and consumers alike   it also makes them particularly vulnerable to hackers.",,,       
"One of the largest expenditures for most businesses and corporations revolve around network security.",,,       
"A significant amount of computing resources are needed to secure business networks against hackers and potential security risks.",,,       
"A major concern for CTO's is that technology solutions would need to be updated and monitored in an effort to deter hackers that routinely seek vulnerable areas to enter networks.",,,       
"On the flip side   CTO's in general are learning more about the benefits of blockchain technology.",,,       
"Blockchain essentially functions as a distributed ledger system spread as a network of blocks where each block contains time-stamped data and information.",,,       
"This is what makes the entire network of blocks (or chain of transactions) secure against any kind of data tampering or corruption.",,,       
"There exists a general consensus among users (each user in the network is an equal stakeholder) in the way data is both recorded and stored   so the role of third-parties is rendered obsolete.",,,       
"In addition to being used within the financial industry   Blockchain technology has extensive potential as a business solution for any industry type   ranging from healthcare   to wellness   to logistics intensive industries.",,,       
"In such scenarios   the need for tracking and analyzing data is very critical.",,,       
"Through the use of Blockchain technology   this data can be easily tracked to the original transaction which again reduces space for duplication or tampering of data.",,,      
"Since all data and information is linked   the identification of errors is faster which means solutions to address those errors can be employed quickly and effortlessly.",,,       
"Any error   or break in data within the network is restricted to just one node or connection.",,,       
"In addition to creating a needlessly complex structure of processes   this adds to the cost burden of the business.",,,       
"However   with Blockchain technology   the processes can be moved within one distributed ledger which builds on optimization while reducing business costs.",,,       
"These advantages essentially make Blockchain the new business solution for businesses.",,,       
"This explains why there is a growing demand for professional Blockchain experts across multiple industries.",,,       
"Thinking ahead and upping the game in both these areas is one of the best ways of dealing with any kind of security breach.",,,       
