sentence,cryptocurrency,span_start,span_stop
This is my sentence that contains a XPTX,platinumbar,36,40
This is Alphabit sentence that contains a cryptocurrency.,alphabitcoinfund,8,16
This is ABC sentence that contains a cryptocurrency.,alphabitcoinfund,8,11
This is my sentence that contains LanaCoin cryptocurrency.,lanacoin,34,42
This is my sentence that contains LANA cryptocurrency.,lanacoin,34,38
This is my sentence that contains a PonziCoin,ponzicoin,36,45
This is my sentence that contains a PONZI,ponzicoin,36,41
This is TeslaCoilCoin sentence that contains a cryptocurrency.,teslacoilcoin,8,21
This is TESLA sentence that contains a cryptocurrency.,teslacoilcoin,8,13
MarteXcoin is my sentence that contains a cryptocurrency.,martexcoin,0,10
MXT is my sentence that contains a cryptocurrency.,martexcoin,0,3
Nullex is my sentence that contains a cryptocurrency.,nullex,0,6
NLX is my sentence that contains a cryptocurrency.,nullex,0,3
This is my sentence that contains a RichCoin,richcoin,36,44
This is my sentence that contains a RICHX,richcoin,36,41
This is PrismChain sentence that contains a cryptocurrency.,prismchain,8,18
This is PRM sentence that contains a cryptocurrency.,prismchain,8,11
This is my sentence that contains Waves cryptocurrency.,waves,34,39
This is my sentence that contains WAVES cryptocurrency.,waves,34,39
This is my sentence that ICO OpenLedger a cryptocurrency.,ico-openledger,25,39
This is my sentence that ICOO a cryptocurrency.,ico-openledger,25,29
This is my sentence that Powercoin a cryptocurrency.,powercoin,25,34
This is my sentence that PWR a cryptocurrency.,powercoin,25,28
This is ION sentence that contains a cryptocurrency.,ion,8,11
This is ION sentence that contains a cryptocurrency.,ion,8,11
High Voltage is my sentence that contains a cryptocurrency.,high-voltage,0,12
HVCO is my sentence that contains a cryptocurrency.,high-voltage,0,4
This Mineum my sentence that contains a cryptocurrency.,mineum,5,11
This MNM my sentence that contains a cryptocurrency.,mineum,5,8
This is my sentence that RevolverCoin a cryptocurrency.,revolvercoin,25,37
This is my sentence that XRE a cryptocurrency.,revolvercoin,25,28
This is my GoldBlocks that contains a cryptocurrency.,goldblocks,11,21
This is my GB that contains a cryptocurrency.,goldblocks,11,13
This is my sentence that contains a Breakout,breakout,36,44
This is my sentence that contains a BRK,breakout,36,39
This is my sentence that contains a Debitcoin,debitcoin,36,45
This is my sentence that contains a DBTC,debitcoin,36,40
This is my sentence that contains Comet cryptocurrency.,comet,34,39
This is my sentence that contains CMT cryptocurrency.,comet,34,37
Rise is my sentence that contains a cryptocurrency.,rise,0,4
RISE is my sentence that contains a cryptocurrency.,rise,0,4
ChessCoin is my sentence that contains a cryptocurrency.,chesscoin,0,9
CHESS is my sentence that contains a cryptocurrency.,chesscoin,0,5
This LBRY Credits my sentence that contains a cryptocurrency.,library-credit,5,17
This LBC my sentence that contains a cryptocurrency.,library-credit,5,8
This is PutinCoin sentence that contains a cryptocurrency.,putincoin,8,17
This is PUT sentence that contains a cryptocurrency.,putincoin,8,11
This is Breakout Stake sentence that contains a cryptocurrency.,breakout-stake,8,22
This is BRX sentence that contains a cryptocurrency.,breakout-stake,8,11
This is my Syndicate that contains a cryptocurrency.,syndicate,11,20
This is my SYNX that contains a cryptocurrency.,syndicate,11,15
Cryptojacks is my sentence that contains a cryptocurrency.,cryptojacks,0,11
CJ is my sentence that contains a cryptocurrency.,cryptojacks,0,2
This HEAT my sentence that contains a cryptocurrency.,heat-ledger,5,9
This HEAT my sentence that contains a cryptocurrency.,heat-ledger,5,9
This is my sentence that LetItRide a cryptocurrency.,letitride,25,34
This is my sentence that LIR a cryptocurrency.,letitride,25,28
This is Steem Dollars sentence that contains a cryptocurrency.,steem-dollars,8,21
This is SBD sentence that contains a cryptocurrency.,steem-dollars,8,11
This is Ardor sentence that contains a cryptocurrency.,ardor,8,13
This is ARDR sentence that contains a cryptocurrency.,ardor,8,12
This is my sentence that Ethereum Classic a cryptocurrency.,ethereum-classic,25,41
This is my sentence that ETC a cryptocurrency.,ethereum-classic,25,28
This is my sentence that 808Coin a cryptocurrency.,808coin,25,32
This is my sentence that 808 a cryptocurrency.,808coin,25,28
This is my sentence that First Bitcoin a cryptocurrency.,first-bitcoin,25,38
This is my sentence that BIT a cryptocurrency.,first-bitcoin,25,28
This is Elementrem sentence that contains a cryptocurrency.,elementrem,8,18
This is ELE sentence that contains a cryptocurrency.,elementrem,8,11
This is my sentence that UGAIN a cryptocurrency.,ugain,25,30
This is my sentence that GAIN a cryptocurrency.,ugain,25,29
This is my Karbo that contains a cryptocurrency.,karbo,11,16
This is my KRB that contains a cryptocurrency.,karbo,11,14
This is my sentence that VapersCoin a cryptocurrency.,vaperscoin,25,35
This is my sentence that VPRC a cryptocurrency.,vaperscoin,25,29
Stratis is my sentence that contains a cryptocurrency.,stratis,0,7
STRAT is my sentence that contains a cryptocurrency.,stratis,0,5
This President Trump my sentence that contains a cryptocurrency.,president-trump,5,20
This PRES my sentence that contains a cryptocurrency.,president-trump,5,9
This is my sentence that contains a Aces,aces,36,40
This is my sentence that contains a ACES,aces,36,40
This is my sentence that contains a President Johnson,president-johnson,36,53
This is my sentence that contains a GARY,president-johnson,36,40
This TajCoin my sentence that contains a cryptocurrency.,tajcoin,5,12
This TAJ my sentence that contains a cryptocurrency.,tajcoin,5,8
This is my sentence that E-Dinar Coin a cryptocurrency.,e-dinar-coin,25,37
This is my sentence that EDR a cryptocurrency.,e-dinar-coin,25,28
This is my sentence that Artex Coin a cryptocurrency.,artex-coin,25,35
This is my sentence that ATX a cryptocurrency.,artex-coin,25,28
This is my sentence that Experience Points a cryptocurrency.,experience-points,25,42
This is my sentence that XP a cryptocurrency.,experience-points,25,27
This Veltor my sentence that contains a cryptocurrency.,veltor,5,11
This VLT my sentence that contains a cryptocurrency.,veltor,5,8
This is my sentence that contains B3Coin cryptocurrency.,b3coin,34,40
This is my sentence that contains KB3 cryptocurrency.,b3coin,34,37
This is my sentence that contains a Golfcoin,golfcoin,36,44
This is my sentence that contains a GOLF,golfcoin,36,40
This is my sentence NEO contains a cryptocurrency.,neo,20,23
This is my sentence NEO contains a cryptocurrency.,neo,20,23
This is LoMoCoin sentence that contains a cryptocurrency.,lomocoin,8,16
This is LMC sentence that contains a cryptocurrency.,lomocoin,8,11
Bitcloud is my sentence that contains a cryptocurrency.,bitcloud,0,8
BTDX is my sentence that contains a cryptocurrency.,bitcloud,0,4
NoLimitCoin is my sentence that contains a cryptocurrency.,nolimitcoin,0,11
NLC2 is my sentence that contains a cryptocurrency.,nolimitcoin,0,4
This VeriumReserve my sentence that contains a cryptocurrency.,veriumreserve,5,18
This VRM my sentence that contains a cryptocurrency.,veriumreserve,5,8
This is my Zayedcoin that contains a cryptocurrency.,zayedcoin,11,20
This is my ZYD that contains a cryptocurrency.,zayedcoin,11,14
This is my Jin Coin that contains a cryptocurrency.,jin-coin,11,19
This is my JIN that contains a cryptocurrency.,jin-coin,11,14
This is my sentence that contains Tao cryptocurrency.,tao,34,37
This is my sentence that contains XTO cryptocurrency.,tao,34,37
Pluton is my sentence that contains a cryptocurrency.,pluton,0,6
PLU is my sentence that contains a cryptocurrency.,pluton,0,3
This is my Tellurion that contains a cryptocurrency.,tellurion,11,20
This is my TELL that contains a cryptocurrency.,tellurion,11,15
This is my sentence that contains Dollarcoin cryptocurrency.,dollarcoin,34,44
This is my sentence that contains DLC cryptocurrency.,dollarcoin,34,37
This is my sentence MustangCoin contains a cryptocurrency.,mustangcoin,20,31
This is my sentence MST contains a cryptocurrency.,mustangcoin,20,23
This is my Beatcoin that contains a cryptocurrency.,beatcoin,11,19
This is my XBTS that contains a cryptocurrency.,beatcoin,11,15
This is my sentence that PROUD Money a cryptocurrency.,proud-money,25,36
This is my sentence that PROUD a cryptocurrency.,proud-money,25,30
This is Sequence sentence that contains a cryptocurrency.,sequence,8,16
This is SEQ sentence that contains a cryptocurrency.,sequence,8,11
This is my Omicron that contains a cryptocurrency.,omicron,11,18
This is my OMC that contains a cryptocurrency.,omicron,11,14
This is my sentence FirstBlood contains a cryptocurrency.,firstblood,20,30
This is my sentence 1ST contains a cryptocurrency.,firstblood,20,23
Pepe Cash is my sentence that contains a cryptocurrency.,pepe-cash,0,9
PEPECASH is my sentence that contains a cryptocurrency.,pepe-cash,0,8
This is my sentence that contains a Iconomi,iconomi,36,43
This is my sentence that contains a ICN,iconomi,36,39
This is my sentence that SingularDTV a cryptocurrency.,singulardtv,25,36
This is my sentence that SNGLS a cryptocurrency.,singulardtv,25,30
This is my sentence that contains ZCoin cryptocurrency.,zcoin,34,39
This is my sentence that contains XZC cryptocurrency.,zcoin,34,37
This is my sentence that contains a Rcoin,rcoin,36,41
This is my sentence that contains a RCN,rcoin,36,39
This is my sentence that contains a Atomic Coin,atomic-coin,36,47
This is my sentence that contains a ATOM,atomic-coin,36,40
This JobsCoin my sentence that contains a cryptocurrency.,jobscoin,5,13
This JOBS my sentence that contains a cryptocurrency.,jobscoin,5,9
This Triggers my sentence that contains a cryptocurrency.,triggers,5,13
This TRIG my sentence that contains a cryptocurrency.,triggers,5,9
This is my sentence that contains a Sakuracoin,sakuracoin,36,46
This is my sentence that contains a SKR,sakuracoin,36,39
This is my sentence that Levocoin a cryptocurrency.,levocoin,25,33
This is my sentence that LEVO a cryptocurrency.,levocoin,25,29
This is my Advanced Technology Coin that contains a cryptocurrency.,arcticcoin,11,35
This is my ARC that contains a cryptocurrency.,arcticcoin,11,14
This is my sentence Cubits contains a cryptocurrency.,cubits,20,26
This is my sentence QBT contains a cryptocurrency.,cubits,20,23
This is my sentence that DynamicCoin a cryptocurrency.,dynamiccoin,25,36
This is my sentence that DMC a cryptocurrency.,dynamiccoin,25,28
This is my sentence that contains a Zcash,zcash,36,41
This is my sentence that contains a ZEC,zcash,36,39
This AllSafe my sentence that contains a cryptocurrency.,allsafe,5,12
This ASAFE2 my sentence that contains a cryptocurrency.,allsafe,5,11
This is my sentence that contains BipCoin cryptocurrency.,bipcoin,34,41
This is my sentence that contains BIP cryptocurrency.,bipcoin,34,37
This is my ZClassic that contains a cryptocurrency.,zclassic,11,19
This is my ZCL that contains a cryptocurrency.,zclassic,11,14
Zoin is my sentence that contains a cryptocurrency.,zoin,0,4
ZOI is my sentence that contains a cryptocurrency.,zoin,0,3
This is my sentence WA Space contains a cryptocurrency.,wa-space,20,28
This is my sentence WA contains a cryptocurrency.,wa-space,20,22
Lykke is my sentence that contains a cryptocurrency.,lykke,0,5
LKK is my sentence that contains a cryptocurrency.,lykke,0,3
This is my Golem that contains a cryptocurrency.,golem-network-tokens,11,16
This is my GNT that contains a cryptocurrency.,golem-network-tokens,11,14
This is my sentence that contains a ZetaMicron,zetamicron,36,46
This is my sentence that contains a ZMC,zetamicron,36,39
This is my sentence that contains a Bitcurrency,bitcurrency,36,47
This is my sentence that contains a BTCR,bitcurrency,36,40
This Regacoin my sentence that contains a cryptocurrency.,regacoin,5,13
This REGA my sentence that contains a cryptocurrency.,regacoin,5,9
This is Internet of People sentence that contains a cryptocurrency.,internet-of-people,8,26
This is IOP sentence that contains a cryptocurrency.,internet-of-people,8,11
This is my sentence that contains a Veros,veros,36,41
This is my sentence that contains a VRS,veros,36,39
This Hush my sentence that contains a cryptocurrency.,hush,5,9
This HUSH my sentence that contains a cryptocurrency.,hush,5,9
This is Kurrent sentence that contains a cryptocurrency.,kurrent,8,15
This is KURT sentence that contains a cryptocurrency.,kurrent,8,12
This is my sentence Creatio contains a cryptocurrency.,creatio,20,27
This is my sentence XCRE contains a cryptocurrency.,creatio,20,24
This Rawcoin my sentence that contains a cryptocurrency.,rawcoin2,5,12
This XRC my sentence that contains a cryptocurrency.,rawcoin2,5,8
This is my sentence that Pascal Coin a cryptocurrency.,pascal-coin,25,36
This is my sentence that PASC a cryptocurrency.,pascal-coin,25,29
This is my sentence that contains a Eternity,eternity,36,44
This is my sentence that contains a ENT,eternity,36,39
This is my sentence that Incent a cryptocurrency.,incent,25,31
This is my sentence that INCNT a cryptocurrency.,incent,25,30
DECENT is my sentence that contains a cryptocurrency.,decent,0,6
DCT is my sentence that contains a cryptocurrency.,decent,0,3
This is my Golos that contains a cryptocurrency.,golos,11,16
This is my GOLOS that contains a cryptocurrency.,golos,11,16
This Nexium my sentence that contains a cryptocurrency.,nexium,5,11
This NXC my sentence that contains a cryptocurrency.,nexium,5,8
vSlice is my sentence that contains a cryptocurrency.,vslice,0,6
VSL is my sentence that contains a cryptocurrency.,vslice,0,3
This is my sentence that contains Dollar Online cryptocurrency.,dollar-online,34,47
This is my sentence that contains DOLLAR cryptocurrency.,dollar-online,34,40
This is my sentence that contains Vault Coin cryptocurrency.,vault-coin,34,44
This is my sentence that contains VLTC cryptocurrency.,vault-coin,34,38
This is my sentence that contains a Pabyosi Coin (Special),pabyosi-coin-special,36,58
This is my sentence that contains a PCS,pabyosi-coin-special,36,39
This is my T-coin that contains a cryptocurrency.,t-coin,11,17
This is my TCOIN that contains a cryptocurrency.,t-coin,11,16
Byteball Bytes is my sentence that contains a cryptocurrency.,byteball,0,14
GBYTE is my sentence that contains a cryptocurrency.,byteball,0,5
This is my PoSW Coin that contains a cryptocurrency.,posw-coin,11,20
This is my POSW that contains a cryptocurrency.,posw-coin,11,15
This is my sentence that Luna Coin a cryptocurrency.,luna-coin,25,34
This is my sentence that LUNA a cryptocurrency.,luna-coin,25,29
Fargocoin is my sentence that contains a cryptocurrency.,fargocoin,0,9
FRGC is my sentence that contains a cryptocurrency.,fargocoin,0,4
This is my sentence Wings contains a cryptocurrency.,wings,20,25
This is my sentence WINGS contains a cryptocurrency.,wings,20,25
Dix Asset is my sentence that contains a cryptocurrency.,dix-asset,0,9
DIX is my sentence that contains a cryptocurrency.,dix-asset,0,3
This is my sentence that contains Darcrus cryptocurrency.,darcrus,34,41
This is my sentence that contains DAR cryptocurrency.,darcrus,34,37
This is my InflationCoin that contains a cryptocurrency.,inflationcoin,11,24
This is my IFLT that contains a cryptocurrency.,inflationcoin,11,15
This is my Spectrecoin that contains a cryptocurrency.,spectrecoin,11,22
This is my XSPEC that contains a cryptocurrency.,spectrecoin,11,16
This is my sentence that Safe Trade Coin a cryptocurrency.,safe-trade-coin,25,40
This is my sentence that XSTC a cryptocurrency.,safe-trade-coin,25,29
This is my sentence that LandCoin a cryptocurrency.,landcoin,25,33
This is my sentence that LDCN a cryptocurrency.,landcoin,25,29
This is my sentence that contains BenjiRolls cryptocurrency.,benjirolls,34,44
This is my sentence that contains BENJI cryptocurrency.,benjirolls,34,39
This is my CryptoCarbon that contains a cryptocurrency.,cryptocarbon,11,23
This is my CCRB that contains a cryptocurrency.,cryptocarbon,11,15
PureVidz is my sentence that contains a cryptocurrency.,purevidz,0,8
VIDZ is my sentence that contains a cryptocurrency.,purevidz,0,4
This is my sentence that contains BitConnect cryptocurrency.,bitconnect,34,44
This is my sentence that contains BCC cryptocurrency.,bitconnect,34,37
This is my sentence that contains ICOBID cryptocurrency.,icobid,34,40
This is my sentence that contains ICOB cryptocurrency.,icobid,34,38
This is my iBank that contains a cryptocurrency.,ibank,11,16
This is my IBANK that contains a cryptocurrency.,ibank,11,16
Maker is my sentence that contains a cryptocurrency.,maker,0,5
MKR is my sentence that contains a cryptocurrency.,maker,0,3
This is my sentence that contains Digital Rupees cryptocurrency.,digital-rupees,34,48
This is my sentence that contains DRS cryptocurrency.,digital-rupees,34,37
This is my Komodo that contains a cryptocurrency.,komodo,11,17
This is my KMD that contains a cryptocurrency.,komodo,11,14
This FirstCoin my sentence that contains a cryptocurrency.,firstcoin,5,14
This FRST my sentence that contains a cryptocurrency.,firstcoin,5,9
This is my Magnum that contains a cryptocurrency.,magnum,11,17
This is my MGM that contains a cryptocurrency.,magnum,11,14
This is my sentence that contains a Tattoocoin (Standard Edition),tattoocoin,36,65
This is my sentence that contains a TSE,tattoocoin,36,39
This is my Solarflarecoin that contains a cryptocurrency.,solarflarecoin,11,25
This is my SFC that contains a cryptocurrency.,solarflarecoin,11,14
This is my sentence that Zilbercoin a cryptocurrency.,zilbercoin,25,35
This is my sentence that ZBC a cryptocurrency.,zilbercoin,25,28
Waves Community Token is my sentence that contains a cryptocurrency.,waves-community-token,0,21
WCT is my sentence that contains a cryptocurrency.,waves-community-token,0,3
This is my Iconic that contains a cryptocurrency.,iconic,11,17
This is my ICON that contains a cryptocurrency.,iconic,11,15
This KushCoin my sentence that contains a cryptocurrency.,kushcoin,5,13
This KUSH my sentence that contains a cryptocurrency.,kushcoin,5,9
This is my sentence that Global Cryptocurrency a cryptocurrency.,global-cryptocurrency,25,46
This is my sentence that GCC a cryptocurrency.,global-cryptocurrency,25,28
This is Avoncoin sentence that contains a cryptocurrency.,avoncoin,8,16
This is ACN sentence that contains a cryptocurrency.,avoncoin,8,11
This BOAT my sentence that contains a cryptocurrency.,doubloon,5,9
This BOAT my sentence that contains a cryptocurrency.,doubloon,5,9
This is my sentence that contains Eryllium cryptocurrency.,eryllium,34,42
This is my sentence that contains ERY cryptocurrency.,eryllium,34,37
This is my sentence that contains Elysium cryptocurrency.,elysium,34,41
This is my sentence that contains ELS cryptocurrency.,elysium,34,37
Golos Gold is my sentence that contains a cryptocurrency.,golos-gold,0,10
GBG is my sentence that contains a cryptocurrency.,golos-gold,0,3
This is my sentence that contains a Centurion,centurion,36,45
This is my sentence that contains a CNT,centurion,36,39
This is my sentence that contains Marijuanacoin cryptocurrency.,marijuanacoin,34,47
This is my sentence that contains MAR cryptocurrency.,marijuanacoin,34,37
This is Master Swiscoin sentence that contains a cryptocurrency.,master-swiscoin,8,23
This is MSCN sentence that contains a cryptocurrency.,master-swiscoin,8,12
This is my sentence that contains a Melon,melon,36,41
This is my sentence that contains a MLN,melon,36,39
This is my Allion that contains a cryptocurrency.,allion,11,17
This is my ALL that contains a cryptocurrency.,allion,11,14
This is my sentence that contains a PRCoin,prcoin,36,42
This is my sentence that contains a PRC,prcoin,36,39
This is my sentence Chronobank contains a cryptocurrency.,chronobank,20,30
This is my sentence TIME contains a cryptocurrency.,chronobank,20,24
This is my sentence that Argus a cryptocurrency.,argus,25,30
This is my sentence that ARGUS a cryptocurrency.,argus,25,30
This is my sentence that Renos a cryptocurrency.,renos,25,30
This is my sentence that RNS a cryptocurrency.,renos,25,28
This is my sentence that UR a cryptocurrency.,ur,25,27
This is my sentence that UR a cryptocurrency.,ur,25,27
This Swarm City my sentence that contains a cryptocurrency.,swarm-city,5,15
This SWT my sentence that contains a cryptocurrency.,swarm-city,5,8
This is my sentence that contains a PIECoin,piecoin,36,43
This is my sentence that contains a PIE,piecoin,36,39
This is MarxCoin sentence that contains a cryptocurrency.,marxcoin,8,16
This is MARX sentence that contains a cryptocurrency.,marxcoin,8,12
This is my sentence that contains a Visio,visio,36,41
This is my sentence that contains a VISIO,visio,36,41
This is my Nano that contains a cryptocurrency.,nano,11,15
This is my NANO that contains a cryptocurrency.,nano,11,15
This is my sentence that contains a LevoPlus,levoplus,36,44
This is my sentence that contains a LVPS,levoplus,36,40
This is my sentence GeertCoin contains a cryptocurrency.,geertcoin,20,29
This is my sentence GEERT contains a cryptocurrency.,geertcoin,20,25
This is my sentence that Pascal Lite a cryptocurrency.,pascal-lite,25,36
This is my sentence that PASL a cryptocurrency.,pascal-lite,25,29
This is my sentence MiloCoin contains a cryptocurrency.,milocoin,20,28
This is my sentence MILO contains a cryptocurrency.,milocoin,20,24
This is my sentence Musicoin contains a cryptocurrency.,musicoin,20,28
This is my sentence MUSIC contains a cryptocurrency.,musicoin,20,25
This is my sentence that Zero a cryptocurrency.,zero,25,29
This is my sentence that ZER a cryptocurrency.,zero,25,28
This is my sentence that BioBar a cryptocurrency.,biobar,25,31
This is my sentence that BIOB a cryptocurrency.,biobar,25,29
This is my sentence that contains Honey cryptocurrency.,honey,34,39
This is my sentence that contains HONEY cryptocurrency.,honey,34,39
This is my Netko that contains a cryptocurrency.,netko,11,16
This is my NETKO that contains a cryptocurrency.,netko,11,16
This is my sentence that contains a Ark,ark,36,39
This is my sentence that contains a ARK,ark,36,39
This is Dynamic sentence that contains a cryptocurrency.,dynamic,8,15
This is DYN sentence that contains a cryptocurrency.,dynamic,8,11
This is my sentence that contains a Tokes,tokes,36,41
This is my sentence that contains a TKS,tokes,36,39
This Mercury my sentence that contains a cryptocurrency.,mercury,5,12
This MER my sentence that contains a cryptocurrency.,mercury,5,8
This is my sentence that contains a TaaS,taas,36,40
This is my sentence that contains a TAAS,taas,36,40
This is my sentence that contains Soarcoin cryptocurrency.,soarcoin,34,42
This is my sentence that contains SOAR cryptocurrency.,soarcoin,34,38
This is my sentence Edgeless contains a cryptocurrency.,edgeless,20,28
This is my sentence EDG contains a cryptocurrency.,edgeless,20,23
This is my sentence that contains a Bankcoin,bankcoin,36,44
This is my sentence that contains a B@,bankcoin,36,38
ZSEcoin is my sentence that contains a cryptocurrency.,zsecoin,0,7
ZSE is my sentence that contains a cryptocurrency.,zsecoin,0,3
This is my sentence that HealthyWormCoin a cryptocurrency.,healthywormcoin,25,40
This is my sentence that WORM a cryptocurrency.,healthywormcoin,25,29
This is my sentence that contains Databits cryptocurrency.,databits,34,42
This is my sentence that contains DTB cryptocurrency.,databits,34,37
This Universe my sentence that contains a cryptocurrency.,universe,5,13
This UNI my sentence that contains a cryptocurrency.,universe,5,8
Solaris is my sentence that contains a cryptocurrency.,solaris,0,7
XLR is my sentence that contains a cryptocurrency.,solaris,0,3
This is my Impact that contains a cryptocurrency.,impact,11,17
This is my IMX that contains a cryptocurrency.,impact,11,14
This is my Tristar Coin that contains a cryptocurrency.,tristar-coin,11,23
This is my TSTR that contains a cryptocurrency.,tristar-coin,11,15
Asch is my sentence that contains a cryptocurrency.,asch,0,4
XAS is my sentence that contains a cryptocurrency.,asch,0,3
This DubaiCoin my sentence that contains a cryptocurrency.,dubaicoin-dbix,5,14
This DBIX my sentence that contains a cryptocurrency.,dubaicoin-dbix,5,9
This Darsek my sentence that contains a cryptocurrency.,darsek,5,11
This KED my sentence that contains a cryptocurrency.,darsek,5,8
This is Matchpool sentence that contains a cryptocurrency.,guppy,8,17
This is GUP sentence that contains a cryptocurrency.,guppy,8,11
This Ultimate Secure Cash my sentence that contains a cryptocurrency.,ultimate-secure-cash,5,25
This USC my sentence that contains a cryptocurrency.,ultimate-secure-cash,5,8
This E-coin my sentence that contains a cryptocurrency.,e-coin,5,11
This ECN my sentence that contains a cryptocurrency.,e-coin,5,8
This is my sentence that contains Skycoin cryptocurrency.,skycoin,34,41
This is my sentence that contains SKY cryptocurrency.,skycoin,34,37
This is BlazerCoin sentence that contains a cryptocurrency.,blazercoin,8,18
This is BLAZR sentence that contains a cryptocurrency.,blazercoin,8,13
This is my sentence Atmos contains a cryptocurrency.,atmos,20,25
This is my sentence ATMOS contains a cryptocurrency.,atmos,20,25
This is my sentence that Ethereum Movie Venture a cryptocurrency.,ethereum-movie-venture,25,47
This is my sentence that EMV a cryptocurrency.,ethereum-movie-venture,25,28
This is my sentence that contains a InPay,inpay,36,41
This is my sentence that contains a INPAY,inpay,36,41
This is Happycoin sentence that contains a cryptocurrency.,happycoin,8,17
This is HPC sentence that contains a cryptocurrency.,happycoin,8,11
This is my sentence Zennies contains a cryptocurrency.,zennies,20,27
This is my sentence ZENI contains a cryptocurrency.,zennies,20,24
This is my sentence that contains a Coinonat,coinonat,36,44
This is my sentence that contains a CXT,coinonat,36,39
This is my sentence that contains a Internet of Things,internet-of-things,36,54
This is my sentence that contains a XOT,internet-of-things,36,39
This is my sentence that Concoin a cryptocurrency.,concoin,25,32
This is my sentence that CONX a cryptocurrency.,concoin,25,29
This is my XTRABYTES that contains a cryptocurrency.,xtrabytes,11,20
This is my XBY that contains a cryptocurrency.,xtrabytes,11,14
This is my sentence iExec RLC contains a cryptocurrency.,rlc,20,29
This is my sentence RLC contains a cryptocurrency.,rlc,20,23
This is my sentence that contains a WeTrust,trust,36,43
This is my sentence that contains a TRST,trust,36,40
DeusCoin is my sentence that contains a cryptocurrency.,deuscoin,0,8
DEUS is my sentence that contains a cryptocurrency.,deuscoin,0,4
This is my sentence that Altcoin a cryptocurrency.,altcoin-alt,25,32
This is my sentence that ALT a cryptocurrency.,altcoin-alt,25,28
WavesGo is my sentence that contains a cryptocurrency.,wavesgo,0,7
WGO is my sentence that contains a cryptocurrency.,wavesgo,0,3
This is my sentence that contains MACRON cryptocurrency.,macron,34,40
This is my sentence that contains MCRN cryptocurrency.,macron,34,38
This is my sentence Tattoocoin (Limited Edition) contains a cryptocurrency.,tattoocoin-limited,20,48
This is my sentence TLE contains a cryptocurrency.,tattoocoin-limited,20,23
ProCurrency is my sentence that contains a cryptocurrency.,procurrency,0,11
PROC is my sentence that contains a cryptocurrency.,procurrency,0,4
This is my sentence SpeedCash contains a cryptocurrency.,speedcash,20,29
This is my sentence SCS contains a cryptocurrency.,speedcash,20,23
This is my sentence that Bitcore a cryptocurrency.,bitcore,25,32
This is my sentence that BTX a cryptocurrency.,bitcore,25,28
This is Bitvolt sentence that contains a cryptocurrency.,bitvolt,8,15
This is VOLT sentence that contains a cryptocurrency.,bitvolt,8,12
This Lunyr my sentence that contains a cryptocurrency.,lunyr,5,10
This LUN my sentence that contains a cryptocurrency.,lunyr,5,8
This is my Gnosis that contains a cryptocurrency.,gnosis-gno,11,17
This is my GNO that contains a cryptocurrency.,gnosis-gno,11,14
This is TokenCard sentence that contains a cryptocurrency.,tokencard,8,17
This is TKN sentence that contains a cryptocurrency.,tokencard,8,11
Condensate is my sentence that contains a cryptocurrency.,condensate,0,10
RAIN is my sentence that contains a cryptocurrency.,condensate,0,4
This is my sentence that contains Gold Pressed Latinum cryptocurrency.,gold-pressed-latinum,34,54
This is my sentence that contains GPL cryptocurrency.,gold-pressed-latinum,34,37
This is my Humaniq that contains a cryptocurrency.,humaniq,11,18
This is my HMQ that contains a cryptocurrency.,humaniq,11,14
This is FUNCoin sentence that contains a cryptocurrency.,funcoin,8,15
This is FUNC sentence that contains a cryptocurrency.,funcoin,8,12
This is iTicoin sentence that contains a cryptocurrency.,iticoin,8,15
This is ITI sentence that contains a cryptocurrency.,iticoin,8,11
This is my sentence that contains a Minereum,minereum,36,44
This is my sentence that contains a MNE,minereum,36,39
This is my sentence that Cannation a cryptocurrency.,cannation,25,34
This is my sentence that CNNC a cryptocurrency.,cannation,25,29
Creativecoin is my sentence that contains a cryptocurrency.,creativecoin,0,12
CREA is my sentence that contains a cryptocurrency.,creativecoin,0,4
This is my sentence that contains a Etheroll,etheroll,36,44
This is my sentence that contains a DICE,etheroll,36,40
This InsaneCoin my sentence that contains a cryptocurrency.,insanecoin-insn,5,15
This INSN my sentence that contains a cryptocurrency.,insanecoin-insn,5,9
Halloween Coin is my sentence that contains a cryptocurrency.,halloween-coin,0,14
HALLO is my sentence that contains a cryptocurrency.,halloween-coin,0,5
This is my sentence that contains a Aragon,aragon,36,42
This is my sentence that contains a ANT,aragon,36,39
This is my sentence that contains a PRIZM,prizm,36,41
This is my sentence that contains a PZM,prizm,36,39
This is my sentence that contains a RouletteToken,roulettetoken,36,49
This is my sentence that contains a RLT,roulettetoken,36,39
This is Qtum sentence that contains a cryptocurrency.,qtum,8,12
This is QTUM sentence that contains a cryptocurrency.,qtum,8,12
This EcoCoin my sentence that contains a cryptocurrency.,ecocoin,5,12
This ECO my sentence that contains a cryptocurrency.,ecocoin,5,8
EquiTrader is my sentence that contains a cryptocurrency.,equitrader,0,10
EQT is my sentence that contains a cryptocurrency.,equitrader,0,3
This is my sentence that contains Digital Money Bits cryptocurrency.,digital-money-bits,34,52
This is my sentence that contains DMB cryptocurrency.,digital-money-bits,34,37
This APX my sentence that contains a cryptocurrency.,apx,5,8
This APX my sentence that contains a cryptocurrency.,apx,5,8
This is my sentence that MCAP a cryptocurrency.,mcap,25,29
This is my sentence that MCAP a cryptocurrency.,mcap,25,29
This Project-X my sentence that contains a cryptocurrency.,project-x,5,14
